Timestamp,Letter Pair,Correct Image,User Input,Is Correct,Response Time (s)
2024-07-19 14:28:14,IQ,IQ,iq,True,1.246
2024-07-19 14:28:16,IP,Ipod,ipod,True,1.618
2024-07-19 14:28:27,KJ,Kanji,kanju,False,2.388
2024-07-19 14:28:33,KW,Kiwi,kiwi,True,5.461
2024-07-19 14:28:37,JC,Juice,juice,True,3.940
2024-07-19 14:28:39,KB,Kirby,kirby,True,2.585
2024-07-19 14:28:41,KT,Katana,katana,True,1.520
2024-07-19 14:28:44,KF,KFC,kf,False,3.754
2024-07-19 14:28:51,JL,Jalisco,jelly,False,6.585
2024-07-19 14:28:55,KP,Kristaps Porzingis,kristaps porzingis,True,3.601
2024-07-19 14:28:57,JO,Jose,jose,True,2.397
2024-07-19 14:29:00,KF,KFC,kfc,True,2.740
2024-07-19 14:29:22,KN,Knicks,knicks,True,22.405
2024-07-19 14:29:27,JI,Jimena,jimena,True,4.372
2024-07-19 14:29:29,KO,Knockout,knockout,True,2.594
2024-07-19 14:29:32,JD,Jedi,jedi,True,2.491
2024-07-19 14:29:47,JN,Juno,juno,True,15.606
2024-07-19 14:30:00,KL,Kilo,kilo,True,12.812
2024-07-19 14:30:07,KG,King,king,True,7.027
2024-07-19 14:30:10,JU,Julian,julian,True,2.646
2024-07-19 14:30:15,KX,Kleenex,kleenex,True,5.337
2024-07-19 14:30:18,KM,Kimono,kimono,True,2.557
2024-07-19 14:30:20,KD,Keed,keed,True,2.766
2024-07-19 14:30:33,JT,Jet,jet,True,13.001
2024-07-19 14:30:37,JH,Josh Hart,josh hart,True,4.006
2024-07-19 14:30:40,KC,Kansas City,kansas city,True,2.465
2024-07-19 14:30:42,JX,Jinx,jinx,True,2.141
2024-07-19 14:30:45,KH,Khalifa,khalifa,True,2.629
2024-07-19 14:30:47,JQ,Jaque,jaque,True,2.196
2024-07-19 14:30:49,KJ,Kanji,kanji,True,2.000
2024-07-19 14:30:57,JW,Jaws,jaws,True,7.904
2024-07-19 14:31:04,JM,Jamon,jamon,True,6.834
2024-07-19 14:31:07,JB,Jalen Brunson,jalen brunson,True,3.206
2024-07-19 14:31:10,KS,Kiss,kiss,True,3.046
2024-07-19 14:31:11,KU,Kurt,kurt,True,1.562
2024-07-19 14:31:27,JF,Jirafa,jefe,False,15.350
2024-07-19 14:31:29,JK,Joker,joker,True,2.311
2024-07-19 14:31:33,KI,Kim,kim,True,3.673
2024-07-19 14:31:35,JF,Jirafa,jirafa,True,2.316
2024-07-19 14:31:41,JL,Jalisco,jalisco,True,5.755
2024-07-19 14:31:43,JS,Jess,jess,True,2.081
2024-07-19 14:31:46,KQ,Kick,kick,True,2.941
2024-07-19 14:31:51,JV,Javelin,java,False,4.719
2024-07-19 14:31:59,JV,Javelin,javelin,True,8.336
2024-07-19 14:32:06,JP,Japon,japon,True,7.463
2024-07-19 14:32:08,JG,Jaguar,jaguar,True,1.465
2024-07-19 14:32:11,KV,Kevlar,kevlar,True,3.432
2024-07-19 14:43:04,LW,Law,low,False,2.082
2024-07-19 14:43:10,LH,Leche,leche,True,5.874
2024-07-19 14:43:14,LB,Lobo,lobo,True,4.095
2024-07-19 14:43:19,LF,Life,life,True,5.059
2024-07-19 14:43:21,LI,Liliana,liliana,True,1.738
2024-07-19 14:43:24,LJ,Lebron James,lebron james,True,2.726
2024-07-19 14:43:25,LM,Limon,limon,True,1.461
2024-07-19 14:43:27,LT,Lata,lata,True,1.940
2024-07-19 14:43:30,LO,Lorena,lorena,True,2.554
2024-07-19 14:43:33,LQ,Liquido,liquido,True,3.249
2024-07-19 14:43:35,LV,Louveira,louveira,True,2.236
2024-07-19 14:43:37,LD,Lodo,lodo,True,1.339
2024-07-19 14:43:39,LU,Lupis,lupis,True,2.677
2024-07-19 14:43:44,LP,Lap,lupa,False,4.916
2024-07-19 14:43:47,LX,Latex,latex,True,3.266
2024-07-19 14:43:49,LC,Locust,locust,True,1.437
2024-07-19 14:43:50,LN,Luna,lana,False,1.194
2024-07-19 14:43:52,LN,Luna,luna,True,1.840
2024-07-19 14:43:55,LK,Luke,luke,True,3.158
2024-07-19 14:44:14,LS,Laser,ls,False,18.668
2024-07-19 14:44:17,LP,Lap,lap,True,2.914
2024-07-19 14:44:18,LS,Laser,laser,True,0.981
2024-07-19 14:44:19,LW,Law,law,True,1.233
2024-07-19 14:44:34,LG,Lago,lago,True,14.695
