Timestamp,Piece,Reference,User Input,Response Time (s)
2024-07-13 02:03:50,"('white', 'orange')",K,k,2.995
2024-07-13 02:03:53,"('blue', 'red')",E,e,1.932
2024-07-13 02:03:55,"('blue', 'orange')",G,g,2.470
2024-07-13 02:03:57,"('green', 'red')",M,m,1.458
2024-07-13 02:04:00,"('yellow', 'blue')",R,r,2.526
2024-07-13 02:04:02,"('white', 'green')",J,j,1.389
2024-07-13 02:04:04,"('blue', 'orange')",G,g,1.600
2024-07-13 02:04:10,"('green', 'yellow')",N,n,5.459
2024-07-13 02:04:13,"('white', 'green')",J,j,2.398
2024-07-13 02:04:15,"('red', 'yellow')",A,a,1.238
2024-07-13 02:04:18,"('blue', 'yellow')",H,h,2.494
2024-07-13 02:04:20,"('blue', 'white')",F,f,2.310
2024-07-13 02:04:23,"('green', 'yellow')",N,n,2.062
2024-07-13 02:04:25,"('yellow', 'orange')",S,s,1.503
2024-07-13 02:04:28,"('blue', 'white')",F,f,3.127
2024-07-13 02:04:31,"('orange', 'yellow')",W,w,1.749
2024-07-13 02:04:33,"('yellow', 'red')",Q,q,1.297
2024-07-13 02:04:36,"('white', 'blue')",L,l,3.013
2024-07-13 02:04:38,"('white', 'green')",J,j,1.762
2024-07-13 02:04:40,"('red', 'white')",C,c,1.157
2024-07-13 02:04:43,"('blue', 'white')",F,f,1.981
2024-07-13 02:04:46,"('orange', 'white')",U,u,2.757
2024-07-13 02:04:49,"('blue', 'white')",F,f,2.488
2024-07-13 02:04:52,"('blue', 'red')",E,e,2.362
2024-07-13 02:04:54,"('orange', 'blue')",X,x,1.819
2024-07-13 02:04:57,"('green', 'yellow')",N,n,2.017
